Mes,Día,Hora,TemperaturaPromedioHora,TemperaturaPromedioDelMes,TemperaturaNeutraDelMes
1,4,19,18.032258064516128,14.860483870967743,22.406750000000002
1,4,20,16.69677419354839,14.860483870967743,22.406750000000002
1,4,21,15.561290322580644,14.860483870967743,22.406750000000002
1,4,22,14.683870967741935,14.860483870967743,22.406750000000002
1,4,23,13.519354838709678,14.860483870967743,22.406750000000002
1,4,23,13.519354838709678,14.860483870967743,22.406750000000002
1,5,1,12.448387096774193,14.860483870967743,22.406750000000002
1,5,2,11.596774193548388,14.860483870967743,22.406750000000002
1,5,3,10.741935483870968,14.860483870967743,22.406750000000002
1,5,4,9.870967741935484,14.860483870967743,22.406750000000002
1,5,5,9.029032258064515,14.860483870967743,22.406750000000002
1,5,6,8.474193548387097,14.860483870967743,22.406750000000002
1,5,7,7.854838709677419,14.860483870967743,22.406750000000002
1,5,8,8.774193548387096,14.860483870967743,22.406750000000002
1,5,9,10.5,14.860483870967743,22.406750000000002
1,5,10,13.567741935483872,14.860483870967743,22.406750000000002
1,5,11,16.280645161290323,14.860483870967743,22.406750000000002
1,5,12,18.887096774193548,14.860483870967743,22.406750000000002
1,5,13,20.374193548387098,14.860483870967743,22.406750000000002
1,5,14,21.438709677419357,14.860483870967743,22.406750000000002
1,5,15,22.01290322580645,14.860483870967743,22.406750000000002
1,5,16,22.009677419354837,14.860483870967743,22.406750000000002
1,5,17,20.983870967741936,14.860483870967743,22.406750000000002
1,5,18,19.793548387096774,14.860483870967743,22.406750000000002
1,5,19,18.032258064516128,14.860483870967743,22.406750000000002
1,5,20,16.69677419354839,14.860483870967743,22.406750000000002
1,5,21,15.561290322580644,14.860483870967743,22.406750000000002
1,5,22,14.683870967741935,14.860483870967743,22.406750000000002
1,5,23,13.519354838709678,14.860483870967743,22.406750000000002
1,5,23,13.519354838709678,14.860483870967743,22.406750000000002
1,6,1,12.448387096774193,14.860483870967743,22.406750000000002
1,6,2,11.596774193548388,14.860483870967743,22.406750000000002
1,6,3,10.741935483870968,14.860483870967743,22.406750000000002
1,6,4,9.870967741935484,14.860483870967743,22.406750000000002
1,6,5,9.029032258064515,14.860483870967743,22.406750000000002
1,6,6,8.474193548387097,14.860483870967743,22.406750000000002
