Mes,Día,Hora,TempPromedioHora,TempPromedioMes,TempNeutraMes
1,10,23,21.041935483870965,22.838709677419356,24.880000000000003
1,11,1,19.780645161290323,22.838709677419356,24.880000000000003
1,11,2,19.006451612903227,22.838709677419356,24.880000000000003
1,11,3,18.203225806451613,22.838709677419356,24.880000000000003
1,11,4,17.774193548387096,22.838709677419356,24.880000000000003
1,11,5,17.345161290322583,22.838709677419356,24.880000000000003
1,11,6,17.032258064516128,22.838709677419356,24.880000000000003
1,11,7,17.02258064516129,22.838709677419356,24.880000000000003
1,11,8,18.770967741935483,22.838709677419356,24.880000000000003
1,11,9,21.177419354838708,22.838709677419356,24.880000000000003
1,11,10,23.490322580645163,22.838709677419356,24.880000000000003
1,11,11,25.48709677419355,22.838709677419356,24.880000000000003
1,11,12,27.106451612903225,22.838709677419356,24.880000000000003
1,11,13,28.206451612903226,22.838709677419356,24.880000000000003
1,11,14,28.903225806451612,22.838709677419356,24.880000000000003
1,11,15,29.112903225806452,22.838709677419356,24.880000000000003
1,11,16,28.706451612903226,22.838709677419356,24.880000000000003
1,11,17,27.574193548387097,22.838709677419356,24.880000000000003
1,11,18,26.029032258064515,22.838709677419356,24.880000000000003
1,11,19,25.16774193548387,22.838709677419356,24.880000000000003
1,11,20,24.283870967741933,22.838709677419356,24.880000000000003
1,11,21,23.39032258064516,22.838709677419356,24.880000000000003
1,11,22,22.4741935483871,22.838709677419356,24.880000000000003
1,11,23,21.041935483870965,22.838709677419356,24.880000000000003
1,11,23,21.041935483870965,22.838709677419356,24.880000000000003
1,12,1,19.780645161290323,22.838709677419356,24.880000000000003
1,12,2,19.006451612903227,22.838709677419356,24.880000000000003
1,12,3,18.203225806451613,22.838709677419356,24.880000000000003
1,12,4,17.774193548387096,22.838709677419356,24.880000000000003
1,12,5,17.345161290322583,22.838709677419356,24.880000000000003
1,12,6,17.032258064516128,22.838709677419356,24.880000000000003
1,12,7,17.02258064516129,22.838709677419356,24.880000000000003
1,12,8,18.770967741935483,22.838709677419356,24.880000000000003
1,12,9,21.177419354838708,22.838709677419356,24.880000000000003
1,12,10,23.490322580645163,22.838709677419356,24.880000000000003
1,12,11,25.48709677419355,22.838709677419356,24.880000000000003
1,12,12,27.106451612903225,22.838709677419356,24.880000000000003
1,12,13,28.206451612903226,22.838709677419356,24.880000000000003
1,12,14,28.903225806451612,22.838709677419356,24.880000000000003
1,12,15,29.112903225806452,22.838709677419356,24.880000000000003
1,12,16,28.706451612903226,22.838709677419356,24.880000000000003
1,12,17,27.574193548387097,22.838709677419356,24.880000000000003
1,12,18,26.029032258064515,22.838709677419356,24.880000000000003
1,12,19,25.16774193548387,22.838709677419356,24.880000000000003
1,12,20,24.283870967741933,22.838709677419356,24.880000000000003
1,12,21,23.39032258064516,22.838709677419356,24.880000000000003
1,12,22,22.4741935483871,22.838709677419356,24.880000000000003
1,12,23,21.041935483870965,22.838709677419356,24.880000000000003
1,12,23,21.041935483870965,22.838709677419356,24.880000000000003
1,13,1,19.780645161290323,22.838709677419356,24.880000000000003
1,13,2,19.006451612903227,22.838709677419356,24.880000000000003
1,13,3,18.203225806451613,22.838709677419356,24.880000000000003
1,13,4,17.774193548387096,22.838709677419356,24.880000000000003
1,13,5,17.345161290322583,22.838709677419356,24.880000000000003
1,13,6,17.032258064516128,22.838709677419356,24.880000000000003
1,13,7,17.02258064516129,22.838709677419356,24.880000000000003
1,13,8,18.770967741935483,22.838709677419356,24.880000000000003
1,13,9,21.177419354838708,22.838709677419356,24.880000000000003
1,13,10,23.490322580645163,22.838709677419356,24.880000000000003
1,13,11,25.48709677419355,22.838709677419356,24.880000000000003
1,13,12,27.106451612903225,22.838709677419356,24.880000000000003
1,13,13,28.206451612903226,22.838709677419356,24.880000000000003
1,13,14,28.903225806451612,22.838709677419356,24.880000000000003
1,13,15,29.112903225806452,22.838709677419356,24.880000000000003
1,13,16,28.706451612903226,22.838709677419356,24.880000000000003
1,13,17,27.574193548387097,22.838709677419356,24.880000000000003
1,13,18,26.029032258064515,22.838709677419356,24.880000000000003
1,13,19,25.16774193548387,22.838709677419356,24.880000000000003
1,13,20,24.283870967741933,22.838709677419356,24.880000000000003
1,13,21,23.39032258064516,22.838709677419356,24.880000000000003
1,13,22,22.4741935483871,22.838709677419356,24.880000000000003
1,13,23,21.041935483870965,22.838709677419356,24.880000000000003
1,13,23,21.041935483870965,22.838709677419356,24.880000000000003
1,14,1,19.780645161290323,22.838709677419356,24.880000000000003
1,14,2,19.006451612903227,22.838709677419356,24.880000000000003
1,14,3,18.203225806451613,22.838709677419356,24.880000000000003
1,14,4,17.774193548387096,22.838709677419356,24.880000000000003
1,14,5,17.345161290322583,22.838709677419356,24.880000000000003
1,14,6,17.032258064516128,22.838709677419356,24.880000000000003
1,14,7,17.02258064516129,22.838709677419356,24.880000000000003
1,14,8,18.770967741935483,22.838709677419356,24.880000000000003
1,14,9,21.177419354838708,22.838709677419356,24.880000000000003
1,14,10,23.490322580645163,22.838709677419356,24.880000000000003
1,14,11,25.48709677419355,22.838709677419356,24.880000000000003
1,14,12,27.106451612903225,22.838709677419356,24.880000000000003
1,14,13,28.206451612903226,22.838709677419356,24.880000000000003
1,14,14,28.903225806451612,22.838709677419356,24.880000000000003
1,14,15,29.112903225806452,22.838709677419356,24.880000000000003
1,14,16,28.706451612903226,22.838709677419356,24.880000000000003
1,14,17,27.574193548387097,22.838709677419356,24.880000000000003
1,14,18,26.029032258064515,22.838709677419356,24.880000000000003
1,14,19,25.16774193548387,22.838709677419356,24.880000000000003
1,14,20,24.283870967741933,22.838709677419356,24.880000000000003
1,14,21,23.39032258064516,22.838709677419356,24.880000000000003
1,14,22,22.4741935483871,22.838709677419356,24.880000000000003
1,14,23,21.041935483870965,22.838709677419356,24.880000000000003
1,14,23,21.041935483870965,22.838709677419356,24.880000000000003
1,15,1,19.780645161290323,22.838709677419356,24.880000000000003
1,15,2,19.006451612903227,22.838709677419356,24.880000000000003
1,15,3,18.203225806451613,22.838709677419356,24.880000000000003
1,15,4,17.774193548387096,22.838709677419356,24.880000000000003
1,15,5,17.345161290322583,22.838709677419356,24.880000000000003
1,15,6,17.032258064516128,22.838709677419356,24.880000000000003
1,15,7,17.02258064516129,22.838709677419356,24.880000000000003
1,15,8,18.770967741935483,22.838709677419356,24.880000000000003
1,15,9,21.177419354838708,22.838709677419356,24.880000000000003
1,15,10,23.490322580645163,22.838709677419356,24.880000000000003
1,15,11,25.48709677419355,22.838709677419356,24.880000000000003
1,15,12,27.106451612903225,22.838709677419356,24.880000000000003
1,15,13,28.206451612903226,22.838709677419356,24.880000000000003
1,15,14,28.903225806451612,22.838709677419356,24.880000000000003
1,15,15,29.112903225806452,22.838709677419356,24.880000000000003
1,15,16,28.706451612903226,22.838709677419356,24.880000000000003
1,15,17,27.574193548387097,22.838709677419356,24.880000000000003
1,15,18,26.029032258064515,22.838709677419356,24.880000000000003
1,15,19,25.16774193548387,22.838709677419356,24.880000000000003
1,15,20,24.283870967741933,22.838709677419356,24.880000000000003
1,15,21,23.39032258064516,22.838709677419356,24.880000000000003
1,15,22,22.4741935483871,22.838709677419356,24.880000000000003
1,15,23,21.041935483870965,22.838709677419356,24.880000000000003
1,15,23,21.041935483870965,22.838709677419356,24.880000000000003
1,16,1,19.780645161290323,22.838709677419356,24.880000000000003
1,16,2,19.006451612903227,22.838709677419356,24.880000000000003
1,16,3,18.203225806451613,22.838709677419356,24.880000000000003
1,16,4,17.774193548387096,22.838709677419356,24.880000000000003
1,16,5,17.345161290322583,22.838709677419356,24.880000000000003
1,16,6,17.032258064516128,22.838709677419356,24.880000000000003
1,16,7,17.02258064516129,22.838709677419356,24.880000000000003
1,16,8,18.770967741935483,22.838709677419356,24.880000000000003
1,16,9,21.177419354838708,22.838709677419356,24.880000000000003
1,16,10,23.490322580645163,22.838709677419356,24.880000000000003
1,16,11,25.48709677419355,22.838709677419356,24.880000000000003
1,16,12,27.106451612903225,22.838709677419356,24.880000000000003
1,16,13,28.206451612903226,22.838709677419356,24.880000000000003
1,16,14,28.903225806451612,22.838709677419356,24.880000000000003
1,16,15,29.112903225806452,22.838709677419356,24.880000000000003
1,16,16,28.706451612903226,22.838709677419356,24.880000000000003
1,16,17,27.574193548387097,22.838709677419356,24.880000000000003
1,16,18,26.029032258064515,22.838709677419356,24.880000000000003
1,16,19,25.16774193548387,22.838709677419356,24.880000000000003
1,16,20,24.283870967741933,22.838709677419356,24.880000000000003
1,16,21,23.39032258064516,22.838709677419356,24.880000000000003
1,16,22,22.4741935483871,22.838709677419356,24.880000000000003
1,16,23,21.041935483870965,22.838709677419356,24.880000000000003
1,16,23,21.041935483870965,22.838709677419356,24.880000000000003
1,17,1,19.780645161290323,22.838709677419356,24.880000000000003
1,17,2,19.006451612903227,22.838709677419356,24.880000000000003
1,17,3,18.203225806451613,22.838709677419356,24.880000000000003
1,17,4,17.774193548387096,22.838709677419356,24.880000000000003
1,17,5,17.345161290322583,22.838709677419356,24.880000000000003
1,17,6,17.032258064516128,22.838709677419356,24.880000000000003
1,17,7,17.02258064516129,22.838709677419356,24.880000000000003
1,17,8,18.770967741935483,22.838709677419356,24.880000000000003
1,17,9,21.177419354838708,22.838709677419356,24.880000000000003
1,17,10,23.490322580645163,22.838709677419356,24.880000000000003
1,17,11,25.48709677419355,22.838709677419356,24.880000000000003
1,17,12,27.106451612903225,22.838709677419356,24.880000000000003
1,17,13,28.206451612903226,22.838709677419356,24.880000000000003
1,17,14,28.903225806451612,22.838709677419356,24.880000000000003
1,17,15,29.112903225806452,22.838709677419356,24.880000000000003
1,17,16,28.706451612903226,22.838709677419356,24.880000000000003
1,17,17,27.574193548387097,22.838709677419356,24.880000000000003
1,17,18,26.029032258064515,22.838709677419356,24.880000000000003
1,17,19,25.16774193548387,22.838709677419356,24.880000000000003
1,17,20,24.283870967741933,22.838709677419356,24.880000000000003
1,17,21,23.39032258064516,22.838709677419356,24.880000000000003
1,17,22,22.4741935483871,22.838709677419356,24.880000000000003
1,17,23,21.041935483870965,22.838709677419356,24.880000000000003
1,17,23,21.041935483870965,22.838709677419356,24.880000000000003
1,18,1,19.780645161290323,22.838709677419356,24.880000000000003
1,18,2,19.006451612903227,22.838709677419356,24.880000000000003
1,18,3,18.203225806451613,22.838709677419356,24.880000000000003
1,18,4,17.774193548387096,22.838709677419356,24.880000000000003
1,18,5,17.345161290322583,22.838709677419356,24.880000000000003
1,18,6,17.032258064516128,22.838709677419356,24.880000000000003
1,18,7,17.02258064516129,22.838709677419356,24.880000000000003
1,18,8,18.770967741935483,22.838709677419356,24.880000000000003
1,18,9,21.177419354838708,22.838709677419356,24.880000000000003
1,18,10,23.490322580645163,22.838709677419356,24.880000000000003
1,18,11,25.48709677419355,22.838709677419356,24.880000000000003
1,18,12,27.106451612903225,22.838709677419356,24.880000000000003
1,18,13,28.206451612903226,22.838709677419356,24.880000000000003
1,18,14,28.903225806451612,22.838709677419356,24.880000000000003
1,18,15,29.112903225806452,22.838709677419356,24.880000000000003
1,18,16,28.706451612903226,22.838709677419356,24.880000000000003
1,18,17,27.574193548387097,22.838709677419356,24.880000000000003
1,18,18,26.029032258064515,22.838709677419356,24.880000000000003
